"title","year","content.rating","user.rating","num.raters","genre","budget","opening","gross"
"The Shawshank Redemption",1994,"R",9.3,1539241,"Crime Drama",2.5e+07,727327,28341469
"The Godfather",1972,"R",9.2,1054531,"Crime Drama",6e+06,302393,134966411
"The Godfather: Part II",1974,"R",9.1,713561,"Crime Drama",1.3e+07,244000,57300000
"The Dark Knight",2008,"PG-13",9,1514909,"Action Crime Drama",1.85e+08,158411483,534858444
"12 Angry Men",1957,"Not Rated",8.9,398490,"Crime Drama",350000,NA,NA
"Schindler's List",1993,"R",8.9,783144,"Biography Drama History",2.2e+07,656636,96045248
"Pulp Fiction",1994,"R",8.9,1199796,"Crime Drama",8e+06,9311882,107928762
"The Good, the Bad and the Ugly",1966,"Not Rated",8.9,459994,"Western",1200000,10584,25100000
"The Lord of the Rings: The Return of the King",2003,"PG-13",8.9,1103894,"Adventure Fantasy",9.4e+07,72629713,377845905
"Fight Club",1999,"R",8.9,1213879,"Drama",6.3e+07,11035485,37030102
"The Lord of the Rings: The Fellowship of the Ring",2001,"PG-13",8.8,1128359,"Adventure Fantasy",9.3e+07,47211490,315544750
"Star Wars: Episode V - The Empire Strikes Back",1980,"PG",8.8,720832,"Action Adventure Fantasy Sci-Fi",1.8e+07,10840307,290475067
"Forrest Gump",1994,"PG-13",8.8,1115131,"Drama Romance",5.5e+07,2.4e+07,557683
"Inception",2010,"PG-13",8.8,1313664,"Action Mystery Sci-Fi Thriller",1.6e+08,62785337,292576195
"One Flew Over the Cuckoo's Nest",1975,"R",8.7,622314,"Drama",4400000,NA,1.12e+08
"The Lord of the Rings: The Two Towers",2002,"PG-13",8.7,995274,"Adventure Fantasy",9.4e+07,727645,342551365
"Goodfellas",1990,"R",8.7,662144,"Biography Crime Drama",2.5e+07,6368901,46836394
"The Matrix",1999,"R",8.7,1104250,"Action Sci-Fi",6.3e+07,27788331,171479930
"Star Wars",1977,"PG",8.7,790711,"Action Adventure Fantasy Sci-Fi",1.1e+07,35906661,460935665
"Seven Samurai",1954,"Unrated",8.7,211016,"Drama",2e+06,21830,269061
"City of God",2002,"R",8.7,488443,"Crime Drama",3300000,114442,7563397
"Se7en",1995,"R",8.6,923094,"Drama Mystery Thriller",3.3e+07,NA,100125643
"The Silence of the Lambs",1991,"R",8.6,792703,"Crime Drama Thriller",1.9e+07,13766814,130742922
"The Usual Suspects",1995,"R",8.6,674631,"Crime Drama Thriller",6e+06,645363,1120000
"It's a Wonderful Life",1946,"Approved",8.6,248370,"Drama Family Fantasy",3180000,NA,NA
"Life Is Beautiful",1997,"PG-13",8.6,371498,"Comedy Drama Romance",NA,63934,57598247
"Léon: The Professional",1994,"R",8.6,654594,"Crime Drama Thriller",NA,5306558,19251002
"Once Upon a Time in the West",1968,"PG-13",8.6,197231,"Western",5e+06,NA,5321508
"Interstellar",2014,"PG-13",8.7,746133,"Adventure Drama Sci-Fi",1.65e+08,47510360,188020017
"Saving Private Ryan",1998,"R",8.6,793178,"Action Drama War",7e+07,30576104,216540909
"Spirited Away",2001,"PG",8.6,369693,"Animation Adventure Family Fantasy",NA,449839,10049886
"American History X",1998,"R",8.6,713602,"Crime Drama",7500000,1340166,6712241
"Casablanca",1942,"PG",8.6,358381,"Drama Romance War",950000,181494,1661267
"City Lights",1931,"Passed",8.6,95808,"Comedy Drama Romance",1500000,NA,19181
